invoice_id,vendor_name,issue_date,due_date,po_number,description,qty,unit_price,line_total,tax_rate,tax_amount,invoice_total,currency
INV-2026-0401,CloudSync Pro, Inc.,February 1, 2026,March 3, 2026,PO-88321,"Enterprise License - 15 seats",15,45.00,675.00,8.25%,55.69,730.69,USD
INV-2026-0402,CloudSync Pro, Inc.,February 1, 2026,March 3, 2026,PO-88321,"API Access - Premium Tier",1,250.00,250.00,8.25%,20.63,270.63,USD
INV-2026-0403,CloudSync Pro, Inc.,February 3, 2026,March 5, 2026,PO-88321,"Enterprise License - 15 seats",15,45.00,675.00,9.50%,64.13,739.13,USD
INV-2026-0404,CloudSync Pro, Inc.,February 5, 2026,March 7, 2026,PO-88321,"Data Storage Add-on - 500GB",1,150.00,150.00,8.25%,12.38,162.38,USD
INV-2026-0405,CloudSync Pro, Inc.,February 1, 2026,March 3, 2026,PO-88321,"Enterprise License - 15 seats",15,45.00,675.00,8.25%,55.69,730.69,USD
INV-2026-0406,CloudSync Pro, Inc.,February 8, 2026,March 10, 2026,PO-88321,"Premium Support - Annual",1,1200.00,1200.00,8.25%,99.00,1299.00,USD
INV-2026-0407,CloudSync Pro, Inc.,February 10, 2026,March 12, 2026,PO-88321,"Enterprise License - 20 seats",20,45.00,900.00,8.25%,74.25,974.25,USD
INV-2026-0408,CloudSync Pro, Inc.,February 12, 2026,March 14, 2026,PO-88321,"API Access - Premium Tier",1,250.00,250.00,8.25%,20.63,270.63,USD
INV-2026-0409,CloudSync Pro, Inc.,February 15, 2026,March 17, 2026,PO-88321,"Data Storage Add-on - 500GB",1,150.00,150.00,8.25%,12.38,162.38,USD
INV-2026-0410,CloudSync Pro, Inc.,February 20, 2026,March 22, 2026,PO-88321,"Enterprise License - 15 seats",15,52.00,780.00,8.25%,64.35,844.35,USD
